model,model_label,seed,environment_steps,eval_episode_reward
pointwise_w252,MLP-D,12,298188800,25.35157012939453
pointwise_w252,MLP-D,12,321126400,25.23190689086914
pointwise_w252,MLP-D,12,344064000,25.84903335571289
pointwise_w252,MLP-D,12,367001600,25.063251495361328
pointwise_w252,MLP-D,12,389939200,24.86267852783203
pointwise_w252,MLP-D,12,412876800,25.649425506591797
pointwise_w252,MLP-D,13,0,0.001973637379705906
pointwise_w252,MLP-D,13,22937600,13.766189575195312
pointwise_w252,MLP-D,13,45875200,17.68852996826172
pointwise_w252,MLP-D,13,68812800,17.541038513183594
pointwise_w252,MLP-D,13,91750400,19.951366424560547
pointwise_w252,MLP-D,13,114688000,20.241191864013672
pointwise_w252,MLP-D,13,137625600,21.16651725769043
pointwise_w252,MLP-D,13,160563200,23.09283447265625
pointwise_w252,MLP-D,13,183500800,23.702733993530273
pointwise_w252,MLP-D,13,206438400,24.047534942626953
pointwise_w252,MLP-D,13,229376000,23.39859390258789
pointwise_w252,MLP-D,13,252313600,24.164554595947266
pointwise_w252,MLP-D,13,275251200,24.364795684814453
pointwise_w252,MLP-D,13,298188800,25.283571243286133
pointwise_w252,MLP-D,13,321126400,23.851348876953125
pointwise_w252,MLP-D,13,344064000,25.16553497314453
pointwise_w252,MLP-D,13,367001600,25.40682601928711
pointwise_w252,MLP-D,13,389939200,25.375974655151367
pointwise_w252,MLP-D,13,412876800,25.35544776916504
gcn_w1107,GCN,11,0,0.0019091269932687283
gcn_w1107,GCN,11,22937600,3.7565245628356934
gcn_w1107,GCN,11,45875200,16.393543243408203
gcn_w1107,GCN,11,68812800,16.70540428161621
gcn_w1107,GCN,11,91750400,16.231645584106445
gcn_w1107,GCN,11,114688000,16.838520050048828
gcn_w1107,GCN,11,137625600,17.11025047302246
gcn_w1107,GCN,11,160563200,17.130226135253906
gcn_w1107,GCN,11,183500800,17.25965690612793
gcn_w1107,GCN,11,206438400,16.718429565429688
gcn_w1107,GCN,11,229376000,18.096065521240234
gcn_w1107,GCN,11,252313600,17.170076370239258
gcn_w1107,GCN,11,275251200,17.47321319580078
gcn_w1107,GCN,11,298188800,17.98580551147461
gcn_w1107,GCN,11,321126400,17.31338882446289
gcn_w1107,GCN,11,344064000,18.08574676513672
gcn_w1107,GCN,11,367001600,17.82646369934082
gcn_w1107,GCN,11,389939200,18.32740020751953
gcn_w1107,GCN,11,412876800,18.99788475036621
gcn_w1107,GCN,12,0,0.0018567705992609262
gcn_w1107,GCN,12,22937600,10.506909370422363
gcn_w1107,GCN,12,45875200,16.302711486816406
gcn_w1107,GCN,12,68812800,16.924457550048828
gcn_w1107,GCN,12,91750400,16.831701278686523
gcn_w1107,GCN,12,114688000,17.67705726623535
gcn_w1107,GCN,12,137625600,17.972537994384766
gcn_w1107,GCN,12,160563200,18.37012481689453
gcn_w1107,GCN,12,183500800,17.202388763427734
gcn_w1107,GCN,12,206438400,18.07762908935547
gcn_w1107,GCN,12,229376000,17.297019958496094
gcn_w1107,GCN,12,252313600,17.33249282836914
gcn_w1107,GCN,12,275251200,18.07355499267578
gcn_w1107,GCN,12,298188800,17.737537384033203
gcn_w1107,GCN,12,321126400,17.447338104248047
gcn_w1107,GCN,12,344064000,17.570058822631836
gcn_w1107,GCN,12,367001600,16.840208053588867
gcn_w1107,GCN,12,389939200,17.48098373413086
gcn_w1107,GCN,12,412876800,17.446130752563477
gcn_w1107,GCN,13,0,0.0008280050242319703
gcn_w1107,GCN,13,22937600,9.099491119384766
gcn_w1107,GCN,13,45875200,16.932031631469727
gcn_w1107,GCN,13,68812800,16.31058120727539
gcn_w1107,GCN,13,91750400,17.4599609375
gcn_w1107,GCN,13,114688000,17.454002380371094
gcn_w1107,GCN,13,137625600,17.721694946289062
gcn_w1107,GCN,13,160563200,17.29925537109375
gcn_w1107,GCN,13,183500800,17.664161682128906
gcn_w1107,GCN,13,206438400,17.100744247436523
gcn_w1107,GCN,13,229376000,17.019853591918945
gcn_w1107,GCN,13,252313600,17.372901916503906
gcn_w1107,GCN,13,275251200,16.995256423950195
gcn_w1107,GCN,13,298188800,18.240028381347656
gcn_w1107,GCN,13,321126400,17.03289794921875
gcn_w1107,GCN,13,344064000,17.686349868774414
gcn_w1107,GCN,13,367001600,18.193695068359375
gcn_w1107,GCN,13,389939200,18.22018814086914
gcn_w1107,GCN,13,412876800,18.0394229888916
multirank_hodge_lower_w177,Hodge-L,11,0,0.00024232262512668967
multirank_hodge_lower_w177,Hodge-L,11,22937600,15.917152404785156
multirank_hodge_lower_w177,Hodge-L,11,45875200,18.627490997314453
multirank_hodge_lower_w177,Hodge-L,11,68812800,20.594158172607422
multirank_hodge_lower_w177,Hodge-L,11,91750400,21.633224487304688
multirank_hodge_lower_w177,Hodge-L,11,114688000,23.22808074951172
multirank_hodge_lower_w177,Hodge-L,11,137625600,24.531585693359375
multirank_hodge_lower_w177,Hodge-L,11,160563200,25.67230224609375
multirank_hodge_lower_w177,Hodge-L,11,183500800,25.480796813964844
multirank_hodge_lower_w177,Hodge-L,11,206438400,25.388286590576172
multirank_hodge_lower_w177,Hodge-L,11,229376000,26.20170783996582
multirank_hodge_lower_w177,Hodge-L,11,252313600,26.15816307067871
multirank_hodge_lower_w177,Hodge-L,11,275251200,25.97390365600586
multirank_hodge_lower_w177,Hodge-L,11,298188800,26.564773559570312
multirank_hodge_lower_w177,Hodge-L,11,321126400,26.266578674316406
multirank_hodge_lower_w177,Hodge-L,11,344064000,26.27178192138672
multirank_hodge_lower_w177,Hodge-L,11,367001600,26.832012176513672
multirank_hodge_lower_w177,Hodge-L,11,389939200,26.892318725585938
multirank_hodge_lower_w177,Hodge-L,11,412876800,26.958574295043945
multirank_hodge_lower_w177,Hodge-L,12,0,0.0004340886080171913
multirank_hodge_lower_w177,Hodge-L,12,22937600,9.157093048095703
multirank_hodge_lower_w177,Hodge-L,12,45875200,20.188886642456055
multirank_hodge_lower_w177,Hodge-L,12,68812800,21.747264862060547
multirank_hodge_lower_w177,Hodge-L,12,91750400,23.89065170288086
multirank_hodge_lower_w177,Hodge-L,12,114688000,24.974445343017578
