model,model_label,seed,environment_steps,eval_episode_reward
pointwise_w252,MLP-D,12,298188800,10.488038063049316
pointwise_w252,MLP-D,12,321126400,10.262113571166992
pointwise_w252,MLP-D,12,344064000,9.901742935180664
pointwise_w252,MLP-D,12,367001600,8.833659172058105
pointwise_w252,MLP-D,12,389939200,9.452180862426758
pointwise_w252,MLP-D,12,412876800,9.96352481842041
pointwise_w252,MLP-D,13,0,0.0021490491926670074
pointwise_w252,MLP-D,13,22937600,5.706738471984863
pointwise_w252,MLP-D,13,45875200,7.820323944091797
pointwise_w252,MLP-D,13,68812800,7.500125885009766
pointwise_w252,MLP-D,13,91750400,9.124093055725098
pointwise_w252,MLP-D,13,114688000,10.53313159942627
pointwise_w252,MLP-D,13,137625600,9.72380542755127
pointwise_w252,MLP-D,13,160563200,9.458419799804688
pointwise_w252,MLP-D,13,183500800,9.723590850830078
pointwise_w252,MLP-D,13,206438400,9.027965545654297
pointwise_w252,MLP-D,13,229376000,9.766582489013672
pointwise_w252,MLP-D,13,252313600,10.427563667297363
pointwise_w252,MLP-D,13,275251200,10.51369857788086
pointwise_w252,MLP-D,13,298188800,10.550543785095215
pointwise_w252,MLP-D,13,321126400,9.324407577514648
pointwise_w252,MLP-D,13,344064000,11.129310607910156
pointwise_w252,MLP-D,13,367001600,10.852673530578613
pointwise_w252,MLP-D,13,389939200,11.167086601257324
pointwise_w252,MLP-D,13,412876800,11.214940071105957
gcn_w1107,GCN,11,0,0.0025972449220716953
gcn_w1107,GCN,11,22937600,4.022658348083496
gcn_w1107,GCN,11,45875200,8.830343246459961
gcn_w1107,GCN,11,68812800,9.097875595092773
gcn_w1107,GCN,11,91750400,9.036365509033203
gcn_w1107,GCN,11,114688000,9.01151180267334
gcn_w1107,GCN,11,137625600,9.590097427368164
gcn_w1107,GCN,11,160563200,9.328129768371582
gcn_w1107,GCN,11,183500800,9.45407485961914
gcn_w1107,GCN,11,206438400,8.804615020751953
gcn_w1107,GCN,11,229376000,10.548270225524902
gcn_w1107,GCN,11,252313600,10.480520248413086
gcn_w1107,GCN,11,275251200,10.1470365524292
gcn_w1107,GCN,11,298188800,10.062868118286133
gcn_w1107,GCN,11,321126400,9.536138534545898
gcn_w1107,GCN,11,344064000,10.577896118164062
gcn_w1107,GCN,11,367001600,9.653582572937012
gcn_w1107,GCN,11,389939200,10.281168937683105
gcn_w1107,GCN,11,412876800,10.5609712600708
gcn_w1107,GCN,12,0,0.002750965766608715
gcn_w1107,GCN,12,22937600,2.9350712299346924
gcn_w1107,GCN,12,45875200,6.907483100891113
gcn_w1107,GCN,12,68812800,8.4724702835083
gcn_w1107,GCN,12,91750400,9.641919136047363
gcn_w1107,GCN,12,114688000,9.877628326416016
gcn_w1107,GCN,12,137625600,9.557915687561035
gcn_w1107,GCN,12,160563200,10.544747352600098
gcn_w1107,GCN,12,183500800,8.204325675964355
gcn_w1107,GCN,12,206438400,10.505147933959961
gcn_w1107,GCN,12,229376000,9.640020370483398
gcn_w1107,GCN,12,252313600,9.29127311706543
gcn_w1107,GCN,12,275251200,9.854639053344727
gcn_w1107,GCN,12,298188800,10.082762718200684
gcn_w1107,GCN,12,321126400,9.6466646194458
gcn_w1107,GCN,12,344064000,9.256444931030273
gcn_w1107,GCN,12,367001600,9.148265838623047
gcn_w1107,GCN,12,389939200,9.339675903320312
gcn_w1107,GCN,12,412876800,9.793130874633789
gcn_w1107,GCN,13,0,0.0010335271945223212
gcn_w1107,GCN,13,22937600,2.1466867923736572
gcn_w1107,GCN,13,45875200,7.127930641174316
gcn_w1107,GCN,13,68812800,8.408295631408691
gcn_w1107,GCN,13,91750400,9.726612091064453
gcn_w1107,GCN,13,114688000,9.599231719970703
gcn_w1107,GCN,13,137625600,9.928720474243164
gcn_w1107,GCN,13,160563200,9.5565185546875
gcn_w1107,GCN,13,183500800,9.947332382202148
gcn_w1107,GCN,13,206438400,8.91684341430664
gcn_w1107,GCN,13,229376000,10.596014022827148
gcn_w1107,GCN,13,252313600,9.472309112548828
gcn_w1107,GCN,13,275251200,9.99757194519043
gcn_w1107,GCN,13,298188800,9.99006462097168
gcn_w1107,GCN,13,321126400,9.469003677368164
gcn_w1107,GCN,13,344064000,10.25991153717041
gcn_w1107,GCN,13,367001600,10.388806343078613
gcn_w1107,GCN,13,389939200,10.140292167663574
gcn_w1107,GCN,13,412876800,10.275577545166016
multirank_hodge_lower_w177,Hodge-L,11,0,0.00036954201641492546
multirank_hodge_lower_w177,Hodge-L,11,22937600,5.044400215148926
multirank_hodge_lower_w177,Hodge-L,11,45875200,9.374282836914062
multirank_hodge_lower_w177,Hodge-L,11,68812800,9.405126571655273
multirank_hodge_lower_w177,Hodge-L,11,91750400,8.654701232910156
multirank_hodge_lower_w177,Hodge-L,11,114688000,9.95943546295166
multirank_hodge_lower_w177,Hodge-L,11,137625600,11.233041763305664
multirank_hodge_lower_w177,Hodge-L,11,160563200,11.672107696533203
multirank_hodge_lower_w177,Hodge-L,11,183500800,10.769237518310547
multirank_hodge_lower_w177,Hodge-L,11,206438400,11.929059982299805
